label,n_unguided,n_guided,ks_stat,ks_p,mean_shift,median_shift,direction,ligand_efficiency_shift,ligand_efficiency_degraded,pb_valid_rate_unguided,pb_valid_rate_guided,pb_degraded,ks_p_bh_corrected,significant_after_correction,verdict
BSD_ASPTE_1_130_0:classifier_vs_unguided,20,19,0.33421052631578946,0.17453300569806832,0.2413605263157912,0.7904999999999998,wrong (more positive/worse),0.010090101211176983,True,0.25,0.3684210526315789,False,0.523599017094205,False,no_signal
BSD_ASPTE_1_130_0:classifier_vs_raw,20,19,0.42894736842105263,0.04385064003964232,-14.085039473684208,0.7279999999999998,correct (more negative/better),-0.39635427509136034,False,0.25,0.3684210526315789,False,0.26310384023785394,False,no_signal
HDAC8_HUMAN_1_377_0:classifier_vs_unguided,20,20,0.25,0.571336004933722,0.6185000000000009,0.36099999999999977,wrong (more positive/worse),0.044254896615395944,True,0.6,0.05,True,0.8570040074005831,False,no_signal
HDAC8_HUMAN_1_377_0:classifier_vs_raw,20,20,0.3,0.33559098126008213,0.7250000000000014,0.7634999999999996,wrong (more positive/worse),0.04996884763105547,True,0.6,0.05,True,0.6711819625201643,False,no_signal
CD38_HUMAN_44_300_0:classifier_vs_unguided,20,18,0.17222222222222222,0.8926501750397103,-0.0557277777777756,0.13100000000000023,correct (more negative/better),-0.0014358234863239283,False,0.4,0.2222222222222222,True,0.8926501750397103,False,no_signal
CD38_HUMAN_44_300_0:classifier_vs_raw,20,18,0.17777777777777778,0.869212119833838,0.15812222222222339,0.25950000000000006,wrong (more positive/worse),0.005025301547426364,True,0.45,0.2222222222222222,True,0.8926501750397103,False,no_signal
