label,n_unguided,n_guided,ks_stat,ks_p,mean_shift,median_shift,direction,ligand_efficiency_shift,ligand_efficiency_degraded,pb_valid_rate_unguided,pb_valid_rate_guided,pb_degraded,ks_p_bh_corrected,significant_after_correction,verdict
BSD_ASPTE_1_130_0:lambda_0.1,20,20,0.3,0.33559098126008213,-0.7027500000000018,-0.5374999999999996,correct (more negative/better),-0.023336783133333372,False,0.25,0.55,False,0.4314741187629627,False,no_signal
BSD_ASPTE_1_130_0:lambda_0.3,20,20,0.5,0.012298612583953778,-1.4098499999999987,-1.4449999999999985,correct (more negative/better),-0.04308087664778254,False,0.25,0.3,False,0.110687513255584,False,no_signal
BSD_ASPTE_1_130_0:lambda_1.0,20,17,0.39705882352941174,0.07912745073358315,-1.47609411764706,-0.8815000000000008,correct (more negative/better),-0.06704176386370675,False,0.25,0.058823529411764705,True,0.18237985113015334,False,no_signal
HDAC8_HUMAN_1_377_0:lambda_0.1,20,20,0.35,0.17453300569806826,-0.323500000000001,-0.4950000000000001,correct (more negative/better),-0.01486940644244239,False,0.6,0.65,False,0.2617995085471024,False,no_signal
HDAC8_HUMAN_1_377_0:lambda_0.3,20,20,0.4,0.08105771161340149,-0.5380000000000003,-0.5390000000000006,correct (more negative/better),-0.02496490921860489,False,0.6,0.55,False,0.18237985113015334,False,no_signal
HDAC8_HUMAN_1_377_0:lambda_1.0,20,19,0.4342105263157895,0.03725866408073691,-0.5387236842105265,-0.4720000000000004,correct (more negative/better),-0.04914834909128246,False,0.6,0.21052631578947367,True,0.16766398836331609,False,no_signal
CD38_HUMAN_44_300_0:lambda_0.1,20,20,0.25,0.571336004933722,-0.4632499999999986,-0.27399999999999913,correct (more negative/better),-0.015333966630244111,False,0.4,0.4,False,0.6295654535995316,False,no_signal
CD38_HUMAN_44_300_0:lambda_0.3,20,20,0.35,0.17453300569806826,-0.87575,-0.8884999999999987,correct (more negative/better),-0.0286335310219068,False,0.4,0.35,True,0.2617995085471024,False,no_signal
CD38_HUMAN_44_300_0:lambda_1.0,20,18,0.22777777777777777,0.6295654535995316,0.14966666666666661,0.2635000000000005,wrong (more positive/worse),-0.0037963401017587217,False,0.4,0.0,True,0.6295654535995316,False,no_signal
