label,n_unguided,n_guided,ks_stat,ks_p,mean_shift,median_shift,direction,ligand_efficiency_shift,ligand_efficiency_degraded,pb_valid_rate_unguided,pb_valid_rate_guided,pb_degraded,ks_p_bh_corrected,significant_after_correction,verdict
BSD_ASPTE_1_130_0:raw_vs_unguided,20,20,0.2,0.8319696107963263,14.3264,0.0625,wrong (more positive/worse),0.4064443763025374,True,0.25,0.25,False,0.935965812145867,False,no_signal
BSD_ASPTE_1_130_0:normalized_vs_unguided,20,18,0.42777777777777776,0.042767828992543465,0.6773166666666688,0.5179999999999998,wrong (more positive/worse),0.018797290761683072,True,0.25,0.2777777777777778,False,0.19245523046644558,False,no_signal
BSD_ASPTE_1_130_0:normalized_vs_raw,20,18,0.42777777777777776,0.042767828992543465,-13.64908333333333,0.4554999999999998,correct (more negative/better),-0.38764708554085425,False,0.25,0.2777777777777778,False,0.19245523046644558,False,no_signal
HDAC8_HUMAN_1_377_0:raw_vs_unguided,20,20,0.3,0.33559098126008213,-0.10650000000000048,-0.40249999999999986,correct (more negative/better),-0.005713951015659524,False,0.6,0.6,False,0.5033864718901232,False,no_signal
HDAC8_HUMAN_1_377_0:normalized_vs_unguided,20,20,0.2,0.8319696107963263,0.19794999999999874,0.28049999999999997,wrong (more positive/worse),0.0124812021236132,True,0.6,0.3,True,0.935965812145867,False,no_signal
HDAC8_HUMAN_1_377_0:normalized_vs_raw,20,20,0.3,0.33559098126008213,0.3044499999999992,0.6829999999999998,wrong (more positive/worse),0.018195153139272724,True,0.6,0.3,True,0.5033864718901232,False,no_signal
CD38_HUMAN_44_300_0:raw_vs_unguided,20,20,0.15,0.9831368772656193,-0.21384999999999899,-0.12849999999999984,correct (more negative/better),-0.006461125033750292,False,0.4,0.45,False,0.9831368772656192,False,no_signal
CD38_HUMAN_44_300_0:normalized_vs_unguided,20,20,0.3,0.33559098126008213,-0.760349999999999,-0.7394999999999996,correct (more negative/better),-0.0250364074147999,False,0.4,0.25,True,0.5033864718901232,False,no_signal
CD38_HUMAN_44_300_0:normalized_vs_raw,20,20,0.3,0.33559098126008213,-0.5465,-0.6109999999999998,correct (more negative/better),-0.018575282381049607,False,0.45,0.25,True,0.5033864718901232,False,no_signal
