label,n_unguided,n_guided,ks_stat,ks_p,mean_shift,median_shift,direction,ligand_efficiency_shift,ligand_efficiency_degraded,pb_valid_rate_unguided,pb_valid_rate_guided,pb_degraded,ks_p_bh_corrected,significant_after_correction,verdict
BSD_ASPTE_1_130_0:lambda_0.1,30,30,0.2,0.5940706297759378,0.17246666666666677,0.15100000000000158,wrong (more positive/worse),0.010030369523393035,True,0.3333333333333333,0.5,False,0.9988393756362764,False,no_signal
BSD_ASPTE_1_130_0:lambda_0.3,30,30,0.3,0.13500350250095441,-0.9601000000000006,-0.3299999999999983,correct (more negative/better),-0.03240811866497384,False,0.3333333333333333,0.4,False,0.5513617383139974,False,no_signal
BSD_ASPTE_1_130_0:lambda_1.0,30,28,0.2904761904761905,0.13784043457849934,-0.6348071428571433,-0.02149999999999963,correct (more negative/better),-0.029665088676880336,False,0.3333333333333333,0.03571428571428571,True,0.5513617383139974,False,no_signal
HDAC8_HUMAN_1_377_0:lambda_0.1,30,30,0.36666666666666664,0.034580084963334506,-0.4721666666666664,-0.6319999999999997,correct (more negative/better),-0.025722760178609028,False,0.6333333333333333,0.6333333333333333,False,0.4149610195600141,False,no_signal
HDAC8_HUMAN_1_377_0:lambda_0.3,30,30,0.3333333333333333,0.07088798787114439,-0.34993333333333343,-0.4444999999999997,correct (more negative/better),-0.01900734154318906,False,0.6333333333333333,0.4666666666666667,True,0.5513617383139974,False,no_signal
HDAC8_HUMAN_1_377_0:lambda_1.0,30,29,0.4241379310344828,0.00654839636805878,-0.6650413793103436,-0.8979999999999997,correct (more negative/better),-0.04023446979736989,False,0.6333333333333333,0.10344827586206896,True,0.15716151283341073,False,no_signal
CD38_HUMAN_44_300_0:lambda_0.1,29,30,0.17586206896551723,0.6810403132509291,-0.39796666666666614,-0.17249999999999943,correct (more negative/better),-0.009125835369459434,False,0.3793103448275862,0.4666666666666667,False,0.9988393756362764,False,no_signal
CD38_HUMAN_44_300_0:lambda_0.3,29,29,0.27586206896551724,0.22213483447265486,-0.9256896551724134,-0.6479999999999997,correct (more negative/better),-0.02897607483169984,False,0.3793103448275862,0.3793103448275862,False,0.7616051467633882,False,no_signal
CD38_HUMAN_44_300_0:lambda_1.0,29,29,0.3103448275862069,0.1228595767943279,-0.6205517241379299,-1.0489999999999995,correct (more negative/better),-0.0203432689571843,False,0.3793103448275862,0.034482758620689655,True,0.5513617383139974,False,no_signal
MENE_BACSU_2_486_0:lambda_0.1,30,30,0.16666666666666666,0.8079631540901643,-0.1445333333333343,0.3799999999999999,correct (more negative/better),4.945488950452992e-05,True,0.5,0.43333333333333335,True,0.9988393756362764,False,no_signal
